Source Group;Source;Souree A;Target group;Target;Target A;weight;p-value;error
Q1;Chat GPT;3,9;Q3;Publicly disclose data analysis results;2,9;-0,001;0,991;0,081
Q1;Chat GPT;3,9;Q3;Share data with others;2,5;-0,037;0,65;0,081
Q1;Chat GPT;3,9;Q3;Use AI to design your profile;2,4;-0,004;0,961;0,081
Q1;Cookies;3,7;Q3;Act upon received data;3,1;0,01;0,903;0,081
Q1;Cookies;3,7;Q3;Collect and store data;2,7;-0,03;0,713;0,081
Q1;Cookies;3,7;Q3;Combine data with other data sources;3,2;0,038;0,642;0,081
Q1;Cookies;3,7;Q3;Declare why they need data;4;-0,052;0,518;0,081
Q1;Cookies;3,7;Q3;Delete data after analysis;3,8;-0,087;0,279;0,081
Q1;Cookies;3,7;Q3;Publicly disclose data analysis results;2,9;0,033;0,688;0,081
Q1;Cookies;3,7;Q3;Share data with others;2,5;-0,08;0,323;0,081
Q1;Cookies;3,7;Q3;Use AI to design your profile;2,4;-0,068;0,399;0,081
Q1;GDPR;2,5;Q3;Declare why they need data;4;0,245;0,002;0,078
Q1;Data ownership;3,1;Q3;Collect and store data;2,7;0,135;0,094;0,08
Q1;Hybrid reality;2,5;Q3;Declare why they need data;4;0,169;0,035;0,08
Q1;Personal data;3,8;Q3;Declare why they need data;4;0,242;0,002;0,078
Q1;Data ownership;3,1;Q3;Delete data after analysis;3,8;0,106;0,19;0,08
Q1;VR Glasses;3,6;Q3;Declare why they need data;4;0,216;0,007;0,079
Q1;Data ownership;3,1;Q3;Share data with others;2,5;0,075;0,357;0,081
Q1;Data ownership;3,1;Q3;Use AI to design your profile;2,4;0,092;0,256;0,081
Q1;AI;3,7;Q3;Delete data after analysis;3,8;0,174;0,03;0,08
Q1;GDPR;2,5;Q3;Delete data after analysis;3,8;0,177;0,028;0,08
Q1;Data ownership;3,1;Q3;Combine data with other data sources;3,2;0,296;0;0,077
Q1;Data science;3;Q3;Declare why they need data;4;-0,021;0,793;0,081
Q1;Data science;3;Q3;Delete data after analysis;3,8;0,006;0,944;0,081
Q1;Data science;3;Q3;Combine data with other data sources;3,2;0,188;0,019;0,079
Q1;Data science;3;Q3;Share data with others;2,5;0,134;0,096;0,08
Q1;Data science;3;Q3;Use AI to design your profile;2,4;0,069;0,391;0,081
Q1;Data sharing;3,7;Q3;Act upon received data;3,1;0,107;0,184;0,08
Q1;Data sharing;3,7;Q3;Collect and store data;2,7;0,132;0,101;0,08
Q1;Data sharing;3,7;Q3;Combine data with other data sources;3,2;0,128;0,114;0,08
Q1;Data sharing;3,7;Q3;Declare why they need data;4;0,002;0,978;0,081
Q1;Data sharing;3,7;Q3;Delete data after analysis;3,8;0,022;0,782;0,081
Q1;Data sharing;3,7;Q3;Publicly disclose data analysis results;2,9;0,099;0,219;0,08
Q1;Data sharing;3,7;Q3;Share data with others;2,5;0,097;0,228;0,08
Q1;Data sharing;3,7;Q3;Use AI to design your profile;2,4;0,074;0,362;0,081
Q1;Eye tracking;3,1;Q3;Combine data with other data sources;3,2;0,211;0,008;0,079
Q1;Eye tracking;3,1;Q3;Collect and store data;2,7;0,134;0,096;0,08
Q1;Personal data;3,8;Q3;Combine data with other data sources;3,2;0,197;0,014;0,079
Q1;VR Glasses;3,6;Q3;Combine data with other data sources;3,2;0,239;0,003;0,079
Q1;Eye tracking;3,1;Q3;Delete data after analysis;3,8;0,096;0,236;0,08
Q1;Data ownership;3,1;Q3;Act upon received data;3,1;0,164;0,042;0,08
Q1;Eye tracking;3,1;Q3;Share data with others;2,5;0,045;0,578;0,081
Q1;Eye tracking;3,1;Q3;Use AI to design your profile;2,4;0,01;0,898;0,081
Q1;Data science;3;Q3;Act upon received data;3,1;0,188;0,019;0,079
Q1;GDPR;2,5;Q3;Collect and store data;2,7;0,059;0,467;0,081
Q1;GDPR;2,5;Q3;Combine data with other data sources;3,2;0,024;0,764;0,081
Q1;Eye tracking;3,1;Q3;Act upon received data;3,1;0,207;0,01;0,079
Q1;GDPR;2,5;Q3;Act upon received data;3,1;0,16;0,047;0,08
Q1;Personal data;3,8;Q3;Act upon received data;3,1;0,164;0,041;0,08
Q1;GDPR;2,5;Q3;Share data with others;2,5;0,016;0,845;0,081
Q1;GDPR;2,5;Q3;Use AI to design your profile;2,4;0,038;0,643;0,081
Q1;Hybrid reality;2,5;Q3;Act upon received data;3,1;0,046;0,574;0,081
Q1;Hybrid reality;2,5;Q3;Collect and store data;2,7;0,058;0,474;0,081
Q1;Hybrid reality;2,5;Q3;Combine data with other data sources;3,2;0,095;0,238;0,08
Q1;VR Glasses;3,6;Q3;Act upon received data;3,1;0,188;0,019;0,079
